City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Santa Isabel Do Rio Negro,BR,2021-06-14 03:39:54,-0.4139,-65.0192,72.19,99,92,0.58
67,Olafsvik,IS,2021-06-14 03:39:54,64.8945,-23.7142,38.26,83,88,31.76
68,Gazanjyk,TM,2021-06-14 03:39:54,39.2446,55.5154,82.04,47,0,14.9
69,Tchibanga,GA,2021-06-14 03:39:54,-2.85,11.0333,70.09,94,77,1.23
70,Antalaha,MG,2021-06-14 03:39:55,-14.9003,50.2788,69.73,92,12,4.14
71,Vilcun,CL,2021-06-14 03:39:55,-38.65,-72.2333,36.34,97,98,4.23
72,Komsomolskiy,UZ,2021-06-14 03:39:55,40.4272,71.7189,78.22,49,10,6.91
73,Skibbereen,IE,2021-06-14 03:39:55,51.55,-9.2667,58.8,95,100,9.08
74,Caarapo,BR,2021-06-14 03:39:56,-22.6342,-54.8222,53.94,82,0,5.3
75,Hella,NO,2021-06-14 03:39:56,67.2,14.4333,44.89,91,75,3.44
76,Vestmanna,FO,2021-06-14 03:39:56,62.1564,-7.1664,47.32,93,90,17.27
77,East London,ZA,2021-06-14 03:39:57,-33.0153,27.9116,59.94,82,0,8.05
78,Cockburn Town,TC,2021-06-14 03:39:57,21.4612,-71.1419,80.46,82,17,19.75
79,Sao Lourenco Do Sul,BR,2021-06-14 03:39:57,-31.3653,-51.9783,53.89,85,0,7.07
80,Kulhudhuffushi,MV,2021-06-14 03:39:58,6.6221,73.07,83.41,71,70,15.48
81,Tyup,KG,2021-06-14 03:39:58,42.7276,78.3648,59.36,46,1,3.89
82,Moussoro,TD,2021-06-14 03:39:58,13.6408,16.4901,86.83,47,99,6.67
83,Shache,CN,2021-06-14 03:39:58,38.4167,77.2406,78.39,27,100,7.61
84,Lyuban,BY,2021-06-14 03:39:59,52.7985,28.0048,55.65,97,100,10.29
85,La Palma,US,2021-06-14 03:39:59,33.8464,-118.0467,85.51,63,1,1.99
86,Lively,CA,2021-06-14 03:39:59,46.4334,-81.1498,70.61,87,78,4.36
87,Hambantota,LK,2021-06-14 03:40:00,6.1241,81.1185,86.34,79,40,14.97
88,Kattivakkam,IN,2021-06-14 03:40:00,13.2167,80.3167,87.89,68,100,17.22
89,Marzuq,YE,2021-06-14 03:40:00,14.4,46.4667,81.25,22,96,3.6
90,Codrington,AU,2021-06-14 03:40:01,-38.2667,141.9667,60.22,59,98,8.46
91,Seydi,TM,2021-06-14 03:40:01,39.4816,62.9137,85.12,10,0,18.66
92,Gornopravdinsk,RU,2021-06-14 03:40:01,60.05,69.9,75.99,41,95,8.79
93,Georgetown,MY,2021-06-14 03:40:01,5.4112,100.3354,87.73,74,20,1.01
94,Busselton,AU,2021-06-14 03:40:02,-33.65,115.3333,54.09,63,97,21.54
95,Puxinana,BR,2021-06-14 03:40:02,-7.1611,-35.9606,65.98,94,0,4.61
96,Diffa,NE,2021-06-14 03:40:03,13.3154,12.6113,85.23,43,28,7.81
97,Tasiilaq,GL,2021-06-14 03:40:03,65.6145,-37.6368,37.56,88,99,3.36
98,Mar Del Plata,AR,2021-06-14 03:39:34,-38.0023,-57.5575,61.0,85,0,1.99
99,Kruisfontein,ZA,2021-06-14 03:40:04,-34.0033,24.7314,57.49,78,94,7.25
100,Tanout,NE,2021-06-14 03:40:04,14.9709,8.8879,82.31,16,3,6.4
101,Saint-Louis,SN,2021-06-14 03:40:05,16.3333,-15.0,78.44,73,100,14.34
102,Kifri,IQ,2021-06-14 03:40:05,34.6959,44.9661,92.05,13,0,15.79
103,Nanortalik,GL,2021-06-14 03:40:05,60.1432,-45.2371,34.32,92,48,5.41
104,Kurinjippadi,IN,2021-06-14 03:40:05,11.5667,79.6,87.26,54,100,9.19
105,Goundi,TD,2021-06-14 03:40:06,9.3627,17.366,74.97,76,89,6.02
106,Punta Arenas,CL,2021-06-14 03:40:06,-53.15,-70.9167,37.51,81,75,9.22
107,Aviles,ES,2021-06-14 03:35:53,43.5547,-5.9248,66.76,96,0,1.99
108,Barcelos,PT,2021-06-14 03:40:06,41.5388,-8.6151,67.84,91,11,3.36
109,Vangaindrano,MG,2021-06-14 03:40:07,-23.35,47.6,63.72,95,100,3.49
110,Kaniama,CD,2021-06-14 03:40:07,-7.5667,24.1833,60.85,52,96,5.35
111,Parintins,BR,2021-06-14 03:40:07,-2.6283,-56.7358,74.3,89,75,2.82
112,Kutum,SD,2021-06-14 03:40:08,14.2,24.6667,77.29,17,92,4.79
113,Saint Anthony,US,2021-06-14 03:40:08,45.0205,-93.218,80.65,45,1,10.36
114,Altay,CN,2021-06-14 03:40:08,47.8667,88.1167,59.61,39,10,7.74
115,Touros,BR,2021-06-14 03:40:09,-5.1989,-35.4608,74.07,90,53,8.23
116,Laguna,US,2021-06-14 03:40:09,38.421,-121.4238,80.46,59,1,5.99
117,Culebra,PR,2021-06-14 03:40:09,18.303,-65.301,81.19,80,99,17.94
118,Quatre Cocos,MU,2021-06-14 03:40:09,-20.2078,57.7625,73.09,62,76,16.51
