City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Mahebourg,MU,-20.4081,57.7,77.29,73,40,12.66,scattered clouds
79,Bilma,NE,18.6853,12.9164,104.14,9,16,10.2,few clouds
80,Marawi,PH,7.9986,124.2928,76.64,92,84,2.21,broken clouds
81,Sept-Iles,CA,50.2001,-66.3821,54.25,65,75,5.01,broken clouds
82,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,55.83,58,0,4.16,clear sky
83,Bandarbeyla,SO,9.4942,50.8122,89.89,50,83,28.63,broken clouds
84,Shu,KZ,43.5983,73.7614,81.14,13,0,21.81,clear sky
85,Agirish,RU,61.9247,63.0231,79.03,38,86,11.41,overcast clouds
86,Luderitz,NA,-26.6481,15.1594,72.79,49,52,7.4,broken clouds
87,Buraydah,SA,26.326,43.975,106.25,7,0,9.4,clear sky
88,Rovaniemi,FI,66.5,25.7167,58.41,58,40,12.66,scattered clouds
89,Gazanjyk,TM,39.2446,55.5154,95.4,29,0,12.3,clear sky
90,Dmanisi,GE,41.5251,44.3472,81.34,46,6,5.12,clear sky
91,Ambo,PE,-10.1308,-76.2047,58.14,83,46,2.35,scattered clouds
92,Korla,CN,41.7597,86.1469,69.87,40,100,23.0,overcast clouds
93,Muzaffarabad,PK,34.37,73.4711,84.04,48,39,7.23,scattered clouds
94,Ghanzi,BW,-21.5667,21.7833,75.27,18,0,8.19,clear sky
95,Dikson,RU,73.5069,80.5464,36.79,91,63,9.91,broken clouds
96,Bambous Virieux,MU,-20.3428,57.7575,77.25,73,40,12.66,scattered clouds
97,Viedma,AR,-40.8135,-62.9967,45.19,61,9,14.2,clear sky
98,Isiro,CD,2.7739,27.616,86.25,44,96,2.35,overcast clouds
99,Port Elizabeth,ZA,-33.918,25.5701,70.11,66,60,4.56,broken clouds
100,Saint Anthony,US,45.0205,-93.218,65.97,83,1,0.0,clear sky
101,Sao Filipe,CV,14.8961,-24.4956,76.59,70,86,12.62,overcast clouds
102,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,73,75,12.66,broken clouds
103,Murmino,RU,54.6036,40.0544,77.65,57,47,4.65,scattered clouds
104,Klaksvik,FO,62.2266,-6.589,50.92,88,27,14.23,scattered clouds
105,Chuy,UY,-33.6971,-53.4616,54.34,82,0,6.11,clear sky
106,Nobres,BR,-14.7203,-56.3275,74.91,58,29,1.45,scattered clouds
107,Nicoya,CR,10.1483,-85.452,74.7,92,100,3.33,overcast clouds
108,Nouadhibou,MR,20.931,-17.0347,76.98,61,24,17.27,sand
109,Anloga,GH,5.7947,0.8973,88.02,70,77,13.15,broken clouds
110,Saint-Pierre,RE,-21.3393,55.4781,78.48,65,0,5.75,clear sky
